Technicians
Number of Technicians: 27
domains: 7
proficiency level: 4


ID	domain1	domain2	domain3	domain4	domain5 domain6 domain7
1	3	0	4	2	2	4	0
2	2	2	3	4	4	4	1
3	2	2	0	4	4	2	2
4	2	2	1	4	1	1	2
5	3	0	4	3	4	3	4
6	2	0	3	2	2	3	2
7	2	3	2	3	3	4	0
8	2	4	0	3	4	4	0
9	0	4	1	4	1	3	2
10	0	2	2	3	3	3	0
11	0	1	3	4	0	2	2
12	4	4	1	0	2	3	0
13	0	4	4	2	4	3	2
14	0	3	1	4	2	4	2
15	0	3	2	0	3	2	4
16	3	3	1	3	4	4	4
17	4	0	4	3	4	3	0
18	2	0	0	2	0	4	4
19	3	4	4	4	2	2	1
20	0	3	3	1	2	4	4
21	4	1	4	0	0	4	0
22	3	2	0	4	1	3	2
23	2	2	4	4	4	4	1
24	2	2	3	2	3	1	4
25	2	4	1	3	4	2	0
26	4	3	4	4	4	2	1
27	3	2	4	2	1	0	0
28	3	4	4	2	2	2	2
29	1	2	4	0	4	4	0
30	4	0	1	0	3	2	0
31	2	4	0	2	3	0	0
32	4	2	1	2	4	0	0
33	3	3	3	2	3	4	0
34	4	2	1	1	4	0	2
35	3	1	1	1	2	3	1
36	4	2	0	4	1	0	2
37	4	2	4	2	2	2	0
38	4	2	0	1	2	0	4
39	3	2	2	3	4	2	0
40	2	2	1	1	2	3	0
41	4	1	1	3	2	3	0
42	1	0	2	4	0	2	2
43	1	4	0	2	2	2	0
44	1	2	4	2	4	2	4
45	3	2	0	2	2	2	0
46	0	0	4	0	3	1	0
47	2	1	1	4	4	0	0
48	2	0	1	4	3	1	0
49	4	2	4	3	3	2	0
50	1	2	2	2	0	3	2
51	3	4	0	1	3	2	0
52	4	3	2	3	0	1	3
53	0	4	3	4	0	1	3
54	2	3	1	3	3	1	3
55	1	4	1	3	2	3	3
56	3	3	3	2	2	0	3
57	2	1	1	1	2	1	3
58	1	3	2	2	2	3	1
59	3	2	3	1	2	4	0
60	1	1	2	2	0	3	3
61	3	1	0	2	4	4	1
62	3	2	2	2	3	1	1
63	3	2	4	3	0	0	0
64	3	1	3	2	2	3	2
65	0	4	0	1	1	3	3
66	0	1	2	2	3	2	1
67	3	2	2	1	0	0	2
68	3	0	1	1	0	3	3
69	2	2	2	3	1	4	1
70	1	4	1	1	1	3	1
71	1	0	0	1	4	3	1
72	1	1	4	0	1	3	1
73	3	3	1	4	4	1	3
74	1	2	1	2	4	2	2
75	3	1	2	3	3	2	1
76	3	1	3	3	1	1	0
77	1	3	2	4	4	1	2
78	1	2	2	3	3	3	3
79	1	2	1	0	3	0	3
80	1	4	4	2	4	3	1
81	1	2	4	4	3	2	2
82	2	4	0	1	3	2	3
83	4	0	0	3	3	4	1
84	2	3	1	3	2	0	2
85	0	2	1	1	1	1	2
86	1	1	4	3	2	2	2
87	0	2	3	3	0	2	0
88	4	2	4	2	1	1	0
89	4	2	2	1	2	0	2
90	1	4	0	2	2	0	0
91	2	2	2	1	3	2	1
92	0	3	3	3	1	4	1
93	4	1	4	3	2	0	2
94	3	2	1	4	0	2	3
95	2	4	0	1	2	1	2
96	3	1	2	2	2	0	1
97	2	2	2	2	4	3	0
98	0	3	2	1	1	3	3
99	0	0	0	3	1	3	3
100	1	3	2	0	1	1	3
101	4	2	2	2	1	3	1
102	4	3	3	3	0	2	2
103	4	4	3	1	2	3	0
104	2	1	2	3	1	3	1
105	1	4	2	3	1	4	0
106	0	3	2	0	3	3	1
107	1	4	4	3	2	1	1
108	4	3	3	2	3	1	2
109	2	2	3	2	2	1	1
110	2	3	4	1	3	0	1
