R209.100

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      0       0       1

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    35    35    0      1000   0      [] 	[] 	[]
1    35    35    0      1000   0      [] 	[] 	[1000]
2    35    35    0      1000   0      [] 	[] 	[1000]
3    35    35    0      1000   0      [] 	[] 	[1000]
4    35    35    0      1000   0      [] 	[] 	[1000]
5    35    35    0      1000   0      [] 	[] 	[1000]
6    35    35    0      1000   0      [] 	[] 	[1000]
7    35    35    0      1000   0      [] 	[] 	[1000]
8    35    35    0      1000   0      [] 	[] 	[1000]
9    35    35    0      1000   0      [] 	[] 	[1000]
10   35    35    0      1000   0      [] 	[] 	[1000]
11   35    35    0      1000   0      [] 	[] 	[1000]
12   35    35    0      1000   0      [] 	[] 	[1000]
13   35    35    0      1000   0      [] 	[] 	[1000]
14   35    35    0      1000   0      [] 	[] 	[1000]
15   35    35    0      1000   0      [] 	[] 	[1000]
16   35    35    0      1000   0      [] 	[] 	[1000]
17   35    35    0      1000   0      [] 	[] 	[1000]
18   35    35    0      1000   0      [] 	[] 	[1000]
19   35    35    0      1000   0      [] 	[] 	[1000]
20   35    35    0      1000   0      [] 	[] 	[1000]
21   35    35    0      1000   0      [] 	[] 	[1000]
22   35    35    0      1000   0      [] 	[] 	[1000]
23   35    35    0      1000   0      [] 	[] 	[1000]
24   35    35    0      1000   0      [] 	[] 	[1000]
25   35    35    0      1000   0      [] 	[] 	[1000]
26   41    49    636    919    10     [] 	[] 	[10]
27   35    17    74     351    10     [] 	[] 	[7]
28   55    45    498    613    10     [] 	[] 	[13]
29   55    20    470    965    10     [] 	[] 	[19]
30   15    30    20     370    10     [] 	[] 	[26]
31   25    30    266    663    10     [] 	[] 	[3]
32   20    50    292    449    10     [] 	[] 	[5]
33   10    43    288    597    10     [] 	[] 	[9]
34   55    60    254    643    10     [] 	[] 	[16]
35   30    60    496    713    10     [] 	[] 	[16]
36   20    65    33     510    10     [] 	[] 	[12]
37   50    35    170    403    10     [] 	[] 	[19]
38   30    25    426    978    10     [] 	[] 	[23]
39   15    10    32     454    10     [] 	[] 	[20]
40   30    5     30     529    10     [] 	[] 	[8]
41   10    20    222    423    10     [] 	[] 	[19]
42   5     30    409    959    10     [] 	[] 	[2]
43   20    40    349    462    10     [] 	[] 	[12]
44   15    60    215    432    10     [] 	[] 	[17]
45   45    65    538    709    10     [] 	[] 	[9]
46   45    20    156    389    10     [] 	[] 	[11]
47   45    10    280    623    10     [] 	[] 	[18]
48   55    5     36     513    10     [] 	[] 	[29]
49   65    35    633    918    10     [] 	[] 	[3]
50   65    20    400    956    10     [] 	[] 	[6]
51   45    30    548    707    10     [] 	[] 	[17]
52   35    40    5      612    10     [] 	[] 	[16]
53   41    37    44     325    10     [] 	[] 	[16]
54   64    42    129    374    10     [] 	[] 	[9]
55   40    60    115    498    10     [] 	[] 	[21]
56   31    52    91     336    10     [] 	[] 	[27]
57   35    69    602    835    10     [] 	[] 	[23]
58   53    52    24     646    10     [] 	[] 	[11]
59   65    55    487    656    10     [] 	[] 	[14]
60   63    65    439    948    10     [] 	[] 	[8]
61   2     60    41     710    10     [] 	[] 	[5]
62   20    20    563    736    10     [] 	[] 	[8]
63   5     5     147    560    10     [] 	[] 	[16]
64   60    12    33     797    10     [] 	[] 	[31]
65   40    25    243    554    10     [] 	[] 	[9]
66   42    7     225    682    10     [] 	[] 	[5]
67   24    12    25     616    10     [] 	[] 	[5]
68   23    3     578    747    10     [] 	[] 	[7]
69   11    14    72     501    10     [] 	[] 	[18]
70   6     38    29     669    10     [] 	[] 	[16]
71   2     48    458    685    10     [] 	[] 	[1]
72   8     56    34     362    10     [] 	[] 	[27]
73   13    52    694    962    10     [] 	[] 	[36]
74   6     68    444    597    10     [] 	[] 	[30]
75   47    47    499    690    10     [] 	[] 	[13]
76   49    58    296    505    10     [] 	[] 	[10]
77   27    43    111    362    10     [] 	[] 	[9]
78   37    31    301    602    10     [] 	[] 	[14]
79   57    29    595    780    10     [] 	[] 	[18]
80   63    23    442    917    10     [] 	[] 	[2]
81   53    12    426    851    10     [] 	[] 	[6]
82   32    12    366    585    10     [] 	[] 	[7]
83   36    26    458    980    10     [] 	[] 	[18]
84   21    24    17     441    10     [] 	[] 	[28]
85   17    34    651    932    10     [] 	[] 	[3]
86   12    24    246    421    10     [] 	[] 	[13]
87   24    58    25     583    10     [] 	[] 	[19]
88   27    69    34     348    10     [] 	[] 	[10]
89   15    77    46     523    10     [] 	[] 	[9]
90   62    77    49     608    10     [] 	[] 	[20]
91   49    73    440    845    10     [] 	[] 	[25]
92   67    5     132    563    10     [] 	[] 	[25]
93   56    39    464    925    10     [] 	[] 	[36]
94   37    47    12     535    10     [] 	[] 	[6]
95   37    56    249    968    10     [] 	[] 	[5]
96   57    68    218    417    10     [] 	[] 	[15]
97   47    16    22     377    10     [] 	[] 	[25]
98   44    17    263    444    10     [] 	[] 	[9]
99   46    13    479    965    10     [] 	[] 	[8]
100  49    11    182    399    10     [] 	[] 	[18]
101  49    42    166    497    10     [] 	[] 	[13]
102  53    43    430    970    10     [] 	[] 	[14]
103  61    52    212    671    10     [] 	[] 	[3]
104  57    48    273    580    10     [] 	[] 	[23]
105  56    37    452    968    10     [] 	[] 	[6]
106  55    54    388    479    10     [] 	[] 	[26]
107  15    47    99     352    10     [] 	[] 	[16]
108  14    37    21     328    10     [] 	[] 	[11]
109  11    31    323    624    10     [] 	[] 	[7]
110  16    22    333    504    10     [] 	[] 	[41]
111  4     18    350    503    10     [] 	[] 	[35]
112  28    18    380    487    10     [] 	[] 	[26]
113  26    52    114    553    10     [] 	[] 	[9]
114  26    35    649    981    10     [] 	[] 	[15]
115  31    67    345    534    10     [] 	[] 	[3]
116  15    19    675    930    10     [] 	[] 	[1]
117  22    22    18     673    10     [] 	[] 	[2]
118  18    24    339    969    10     [] 	[] 	[22]
119  26    27    403    536    10     [] 	[] 	[27]
120  25    24    22     301    10     [] 	[] 	[20]
121  22    27    565    732    10     [] 	[] 	[11]
122  25    21    582    703    10     [] 	[] 	[12]
123  19    21    122    367    10     [] 	[] 	[10]
124  20    26    185    580    10     [] 	[] 	[9]
125  18    18    297    965    10     [] 	[] 	[17]
