RC207.100

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      0       0       1

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      960    0      [] 	[] 	[]
1    40    50    0      960    0      [] 	[] 	[1000]
2    40    50    0      960    0      [] 	[] 	[1000]
3    40    50    0      960    0      [] 	[] 	[1000]
4    40    50    0      960    0      [] 	[] 	[1000]
5    40    50    0      960    0      [] 	[] 	[1000]
6    40    50    0      960    0      [] 	[] 	[1000]
7    40    50    0      960    0      [] 	[] 	[1000]
8    40    50    0      960    0      [] 	[] 	[1000]
9    40    50    0      960    0      [] 	[] 	[1000]
10   40    50    0      960    0      [] 	[] 	[1000]
11   40    50    0      960    0      [] 	[] 	[1000]
12   40    50    0      960    0      [] 	[] 	[1000]
13   40    50    0      960    0      [] 	[] 	[1000]
14   40    50    0      960    0      [] 	[] 	[1000]
15   40    50    0      960    0      [] 	[] 	[1000]
16   40    50    0      960    0      [] 	[] 	[1000]
17   40    50    0      960    0      [] 	[] 	[1000]
18   40    50    0      960    0      [] 	[] 	[1000]
19   40    50    0      960    0      [] 	[] 	[1000]
20   40    50    0      960    0      [] 	[] 	[1000]
21   40    50    0      960    0      [] 	[] 	[1000]
22   40    50    0      960    0      [] 	[] 	[1000]
23   40    50    0      960    0      [] 	[] 	[1000]
24   40    50    0      960    0      [] 	[] 	[1000]
25   40    50    0      960    0      [] 	[] 	[1000]
26   25    85    591    874    10     [] 	[] 	[20]
27   22    75    73     350    10     [] 	[] 	[30]
28   22    85    473    588    10     [] 	[] 	[10]
29   20    80    418    913    10     [] 	[] 	[40]
30   20    85    40     390    10     [] 	[] 	[20]
31   18    75    249    646    10     [] 	[] 	[20]
32   15    75    281    438    10     [] 	[] 	[20]
33   15    80    272    581    10     [] 	[] 	[10]
34   10    35    236    625    10     [] 	[] 	[20]
35   10    40    470    687    10     [] 	[] 	[30]
36   8     40    33     510    10     [] 	[] 	[40]
37   8     45    166    399    10     [] 	[] 	[20]
38   5     35    359    911    10     [] 	[] 	[10]
39   5     45    35     457    10     [] 	[] 	[10]
40   2     40    39     538    10     [] 	[] 	[20]
41   0     40    214    415    10     [] 	[] 	[20]
42   0     45    359    909    10     [] 	[] 	[20]
43   44    5     338    451    10     [] 	[] 	[20]
44   42    10    205    422    10     [] 	[] 	[40]
45   42    15    511    682    10     [] 	[] 	[10]
46   40    5     158    391    10     [] 	[] 	[10]
47   40    15    263    606    10     [] 	[] 	[40]
48   38    5     45     522    10     [] 	[] 	[30]
49   38    15    598    883    10     [] 	[] 	[10]
50   35    5     348    904    10     [] 	[] 	[20]
51   95    30    509    668    10     [] 	[] 	[30]
52   95    35    57     664    10     [] 	[] 	[20]
53   92    30    68     349    10     [] 	[] 	[10]
54   90    35    131    376    10     [] 	[] 	[10]
55   88    30    114    497    10     [] 	[] 	[10]
56   88    35    102    347    10     [] 	[] 	[20]
57   87    30    564    797    10     [] 	[] 	[10]
58   85    25    51     673    10     [] 	[] 	[10]
59   85    35    462    631    10     [] 	[] 	[30]
60   67    85    396    905    10     [] 	[] 	[20]
61   65    85    43     712    10     [] 	[] 	[40]
62   65    82    530    703    10     [] 	[] 	[10]
63   62    80    131    544    10     [] 	[] 	[30]
64   60    80    36     800    10     [] 	[] 	[10]
65   60    85    233    544    10     [] 	[] 	[30]
66   58    75    207    664    10     [] 	[] 	[20]
67   55    80    33     624    10     [] 	[] 	[10]
68   55    85    549    718    10     [] 	[] 	[20]
69   55    82    62     491    10     [] 	[] 	[10]
70   20    82    37     677    10     [] 	[] 	[10]
71   18    80    435    662    10     [] 	[] 	[10]
72   2     45    38     366    10     [] 	[] 	[10]
73   42    5     636    904    10     [] 	[] 	[10]
74   42    12    423    576    10     [] 	[] 	[10]
75   72    35    471    662    10     [] 	[] 	[30]
76   55    20    281    490    10     [] 	[] 	[19]
77   25    30    109    360    10     [] 	[] 	[3]
78   20    50    284    585    10     [] 	[] 	[5]
79   55    60    568    753    10     [] 	[] 	[16]
80   30    60    421    896    10     [] 	[] 	[16]
81   50    35    404    829    10     [] 	[] 	[19]
82   30    25    347    566    10     [] 	[] 	[23]
83   15    10    380    902    10     [] 	[] 	[20]
84   10    20    42     466    10     [] 	[] 	[19]
85   15    60    613    894    10     [] 	[] 	[17]
86   45    65    230    405    10     [] 	[] 	[9]
87   65    35    29     587    10     [] 	[] 	[3]
88   65    20    39     353    10     [] 	[] 	[6]
89   45    30    20     497    10     [] 	[] 	[17]
90   35    40    11     570    10     [] 	[] 	[16]
91   41    37    423    828    10     [] 	[] 	[16]
92   64    42    112    543    10     [] 	[] 	[9]
93   40    60    441    902    10     [] 	[] 	[21]
94   31    52    9      532    10     [] 	[] 	[27]
95   35    69    211    930    10     [] 	[] 	[23]
96   65    55    201    400    10     [] 	[] 	[14]
97   63    65    27     382    10     [] 	[] 	[8]
98   2     60    255    436    10     [] 	[] 	[5]
99   20    20    427    913    10     [] 	[] 	[8]
100  5     5     183    400    10     [] 	[] 	[16]
101  60    12    162    493    10     [] 	[] 	[31]
102  23    3     360    900    10     [] 	[] 	[7]
103  8     56    195    654    10     [] 	[] 	[27]
104  6     68    258    565    10     [] 	[] 	[30]
105  47    47    426    942    10     [] 	[] 	[13]
106  49    58    369    460    10     [] 	[] 	[10]
107  27    43    85     338    10     [] 	[] 	[9]
108  37    31    19     326    10     [] 	[] 	[14]
109  57    29    304    605    10     [] 	[] 	[18]
110  63    23    318    489    10     [] 	[] 	[2]
111  21    24    332    485    10     [] 	[] 	[28]
112  12    24    365    472    10     [] 	[] 	[13]
113  24    58    100    539    10     [] 	[] 	[19]
114  67    5     565    897    10     [] 	[] 	[25]
115  37    47    324    513    10     [] 	[] 	[6]
116  49    42    651    906    10     [] 	[] 	[13]
117  53    43    14     669    10     [] 	[] 	[14]
118  61    52    298    928    10     [] 	[] 	[3]
119  57    48    385    518    10     [] 	[] 	[23]
120  56    37    20     299    10     [] 	[] 	[6]
121  55    54    538    705    10     [] 	[] 	[26]
122  4     18    546    667    10     [] 	[] 	[35]
123  26    52    109    354    10     [] 	[] 	[9]
124  26    35    170    565    10     [] 	[] 	[15]
125  31    67    262    930    10     [] 	[] 	[3]
