C206.100

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      0       0       1

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      3390   0      [] 	[] 	[]
1    40    50    0      3390   0      [] 	[] 	[700]
2    40    50    0      3390   0      [] 	[] 	[700]
3    40    50    0      3390   0      [] 	[] 	[700]
4    40    50    0      3390   0      [] 	[] 	[700]
5    40    50    0      3390   0      [] 	[] 	[700]
6    40    50    0      3390   0      [] 	[] 	[700]
7    40    50    0      3390   0      [] 	[] 	[700]
8    40    50    0      3390   0      [] 	[] 	[700]
9    40    50    0      3390   0      [] 	[] 	[700]
10   40    50    0      3390   0      [] 	[] 	[700]
11   40    50    0      3390   0      [] 	[] 	[700]
12   40    50    0      3390   0      [] 	[] 	[700]
13   40    50    0      3390   0      [] 	[] 	[700]
14   40    50    0      3390   0      [] 	[] 	[700]
15   40    50    0      3390   0      [] 	[] 	[700]
16   40    50    0      3390   0      [] 	[] 	[700]
17   40    50    0      3390   0      [] 	[] 	[700]
18   40    50    0      3390   0      [] 	[] 	[700]
19   40    50    0      3390   0      [] 	[] 	[700]
20   40    50    0      3390   0      [] 	[] 	[700]
21   40    50    0      3390   0      [] 	[] 	[700]
22   40    50    0      3390   0      [] 	[] 	[700]
23   40    50    0      3390   0      [] 	[] 	[700]
24   40    50    0      3390   0      [] 	[] 	[700]
25   40    50    0      3390   0      [] 	[] 	[700]
26   52    75    213    568    90     [] 	[] 	[10]
27   45    70    22     563    90     [] 	[] 	[30]
28   62    69    1030   1463   90     [] 	[] 	[10]
29   60    66    1154   1527   90     [] 	[] 	[10]
30   42    65    15     402    90     [] 	[] 	[10]
31   16    42    331    822    90     [] 	[] 	[20]
32   58    70    965    1340   90     [] 	[] 	[20]
33   34    60    2653   3280   90     [] 	[] 	[20]
34   28    70    2385   2976   90     [] 	[] 	[10]
35   35    66    2628   3113   90     [] 	[] 	[10]
36   35    69    2603   2952   90     [] 	[] 	[10]
37   25    85    1985   2412   90     [] 	[] 	[20]
38   22    75    2310   2659   90     [] 	[] 	[30]
39   22    85    1846   2365   90     [] 	[] 	[10]
40   20    80    2077   2514   90     [] 	[] 	[40]
41   20    85    1763   2264   90     [] 	[] 	[40]
42   18    75    2143   2638   90     [] 	[] 	[20]
43   15    75    1560   2083   90     [] 	[] 	[20]
44   15    80    1689   2144   90     [] 	[] 	[10]
45   30    50    10     645    90     [] 	[] 	[10]
46   30    56    2675   3288   90     [] 	[] 	[20]
47   28    52    12     505    90     [] 	[] 	[20]
48   14    66    1519   1926   90     [] 	[] 	[10]
49   25    50    23     368    90     [] 	[] 	[10]
50   22    66    2380   2787   90     [] 	[] 	[40]
51   8     62    1330   1919   90     [] 	[] 	[10]
52   23    52    93     484    90     [] 	[] 	[10]
53   4     55    1268   1785   90     [] 	[] 	[20]
54   20    50    168    787    90     [] 	[] 	[10]
55   20    55    170    595    90     [] 	[] 	[10]
56   10    35    585    1136   90     [] 	[] 	[20]
57   10    40    448    897    90     [] 	[] 	[30]
58   8     40    499    1030   90     [] 	[] 	[40]
59   8     45    1190   1661   90     [] 	[] 	[20]
60   5     35    666    1245   90     [] 	[] 	[10]
61   5     45    1076   1589   90     [] 	[] 	[10]
62   2     40    772    1329   90     [] 	[] 	[20]
63   0     40    890    1395   90     [] 	[] 	[30]
64   0     45    1036   1439   90     [] 	[] 	[20]
65   36    18    1612   2185   90     [] 	[] 	[10]
66   35    32    2599   3076   90     [] 	[] 	[10]
67   33    32    2529   2962   90     [] 	[] 	[20]
68   33    35    2463   2842   90     [] 	[] 	[10]
69   32    20    1745   2240   90     [] 	[] 	[10]
70   30    30    1932   2437   90     [] 	[] 	[10]
71   34    25    1884   2293   90     [] 	[] 	[30]
72   30    35    2348   2771   90     [] 	[] 	[10]
73   36    40    2715   3156   90     [] 	[] 	[10]
74   48    20    812    1281   90     [] 	[] 	[10]
75   26    32    2018   2725   90     [] 	[] 	[10]
76   25    30    2015   2544   90     [] 	[] 	[10]
77   25    35    2201   2728   90     [] 	[] 	[10]
78   44    5     1078   1593   90     [] 	[] 	[20]
79   42    10    998    1481   90     [] 	[] 	[40]
80   42    15    897    1392   90     [] 	[] 	[10]
81   40    5     1199   1660   90     [] 	[] 	[30]
82   38    15    1552   2057   90     [] 	[] 	[40]
83   38    5     1263   1780   90     [] 	[] 	[30]
84   38    10    1498   1921   90     [] 	[] 	[10]
85   35    5     1325   1904   90     [] 	[] 	[20]
86   50    30    223    738    90     [] 	[] 	[10]
87   50    35    18     474    90     [] 	[] 	[20]
88   50    40    14     360    90     [] 	[] 	[50]
89   48    30    246    899    90     [] 	[] 	[10]
90   44    25    704    1197   90     [] 	[] 	[10]
91   47    35    393    942    90     [] 	[] 	[10]
92   47    40    12     424    90     [] 	[] 	[10]
93   42    30    641    1070   90     [] 	[] 	[10]
94   45    35    534    985    90     [] 	[] 	[10]
