C108.100

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      0       0       1

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    40    50    0      1236   0      [] 	[] 	[]
1    40    50    0      1236   0      [] 	[] 	[200]
2    40    50    0      1236   0      [] 	[] 	[200]
3    40    50    0      1236   0      [] 	[] 	[200]
4    40    50    0      1236   0      [] 	[] 	[200]
5    40    50    0      1236   0      [] 	[] 	[200]
6    40    50    0      1236   0      [] 	[] 	[200]
7    40    50    0      1236   0      [] 	[] 	[200]
8    40    50    0      1236   0      [] 	[] 	[200]
9    40    50    0      1236   0      [] 	[] 	[200]
10   40    50    0      1236   0      [] 	[] 	[200]
11   40    50    0      1236   0      [] 	[] 	[200]
12   40    50    0      1236   0      [] 	[] 	[200]
13   40    50    0      1236   0      [] 	[] 	[200]
14   40    50    0      1236   0      [] 	[] 	[200]
15   40    50    0      1236   0      [] 	[] 	[200]
16   40    50    0      1236   0      [] 	[] 	[200]
17   40    50    0      1236   0      [] 	[] 	[200]
18   40    50    0      1236   0      [] 	[] 	[200]
19   40    50    0      1236   0      [] 	[] 	[200]
20   40    50    0      1236   0      [] 	[] 	[200]
21   40    50    0      1236   0      [] 	[] 	[200]
22   40    50    0      1236   0      [] 	[] 	[200]
23   40    50    0      1236   0      [] 	[] 	[200]
24   40    50    0      1236   0      [] 	[] 	[200]
25   40    50    0      1236   0      [] 	[] 	[200]
26   45    68    830    1049   90     [] 	[] 	[10]
27   45    70    756    939    90     [] 	[] 	[30]
28   42    66    16     336    90     [] 	[] 	[10]
29   42    68    643    866    90     [] 	[] 	[10]
30   42    65    15     226    90     [] 	[] 	[10]
31   40    69    499    824    90     [] 	[] 	[20]
32   40    66    87     308    90     [] 	[] 	[20]
33   38    68    150    429    90     [] 	[] 	[20]
34   38    70    429    710    90     [] 	[] 	[10]
35   35    66    279    488    90     [] 	[] 	[10]
36   35    69    363    590    90     [] 	[] 	[10]
37   25    85    547    826    90     [] 	[] 	[20]
38   22    75    30     280    90     [] 	[] 	[30]
39   22    85    489    698    90     [] 	[] 	[10]
40   20    80    318    495    90     [] 	[] 	[40]
41   20    85    394    609    90     [] 	[] 	[40]
42   18    75    33     226    90     [] 	[] 	[20]
43   15    75    68     365    90     [] 	[] 	[20]
44   15    80    176    447    90     [] 	[] 	[10]
45   30    50    10     265    90     [] 	[] 	[10]
46   30    52    836    1043   90     [] 	[] 	[20]
47   28    52    704    991    90     [] 	[] 	[20]
48   28    55    664    845    90     [] 	[] 	[10]
49   25    50    15     333    90     [] 	[] 	[10]
50   25    52    88     305    90     [] 	[] 	[40]
51   25    55    502    821    90     [] 	[] 	[10]
52   23    52    179    398    90     [] 	[] 	[10]
53   23    55    476    663    90     [] 	[] 	[20]
54   20    50    288    475    90     [] 	[] 	[10]
55   20    55    368    585    90     [] 	[] 	[10]
56   10    35    144    293    90     [] 	[] 	[20]
57   10    40    31     309    90     [] 	[] 	[30]
58   8     40    33     313    90     [] 	[] 	[40]
59   8     45    655    912    90     [] 	[] 	[20]
60   5     35    191    436    90     [] 	[] 	[10]
61   5     45    588    793    90     [] 	[] 	[10]
62   2     40    305    512    90     [] 	[] 	[20]
63   0     40    414    587    90     [] 	[] 	[30]
64   0     45    481    710    90     [] 	[] 	[20]
