R101.100

INFO
CREW COUNT  SKILLS  TOOLS   SPARE PARTS
25      0       0       1

DEPOT TECHNICIANS AND REQUESTS
ID   X     Y     TWS    TWE    Serv   SKILLS   TOOLS    SPARE PARTS
0    35    35    0      230    0      [] 	[] 	[]
1    35    35    0      230    0      [] 	[] 	[200]
2    35    35    0      230    0      [] 	[] 	[200]
3    35    35    0      230    0      [] 	[] 	[200]
4    35    35    0      230    0      [] 	[] 	[200]
5    35    35    0      230    0      [] 	[] 	[200]
6    35    35    0      230    0      [] 	[] 	[200]
7    35    35    0      230    0      [] 	[] 	[200]
8    35    35    0      230    0      [] 	[] 	[200]
9    35    35    0      230    0      [] 	[] 	[200]
10   35    35    0      230    0      [] 	[] 	[200]
11   35    35    0      230    0      [] 	[] 	[200]
12   35    35    0      230    0      [] 	[] 	[200]
13   35    35    0      230    0      [] 	[] 	[200]
14   35    35    0      230    0      [] 	[] 	[200]
15   35    35    0      230    0      [] 	[] 	[200]
16   35    35    0      230    0      [] 	[] 	[200]
17   35    35    0      230    0      [] 	[] 	[200]
18   35    35    0      230    0      [] 	[] 	[200]
19   35    35    0      230    0      [] 	[] 	[200]
20   35    35    0      230    0      [] 	[] 	[200]
21   35    35    0      230    0      [] 	[] 	[200]
22   35    35    0      230    0      [] 	[] 	[200]
23   35    35    0      230    0      [] 	[] 	[200]
24   35    35    0      230    0      [] 	[] 	[200]
25   35    35    0      230    0      [] 	[] 	[200]
26   41    49    161    171    10     [] 	[] 	[10]
27   35    17    50     60     10     [] 	[] 	[7]
28   55    45    116    126    10     [] 	[] 	[13]
29   55    20    149    159    10     [] 	[] 	[19]
30   15    30    34     44     10     [] 	[] 	[26]
31   25    30    99     109    10     [] 	[] 	[3]
32   20    50    81     91     10     [] 	[] 	[5]
33   10    43    95     105    10     [] 	[] 	[9]
34   55    60    97     107    10     [] 	[] 	[16]
35   30    60    124    134    10     [] 	[] 	[16]
36   20    65    67     77     10     [] 	[] 	[12]
37   50    35    63     73     10     [] 	[] 	[19]
38   30    25    159    169    10     [] 	[] 	[23]
39   15    10    32     42     10     [] 	[] 	[20]
40   30    5     61     71     10     [] 	[] 	[8]
41   10    20    75     85     10     [] 	[] 	[19]
42   5     30    157    167    10     [] 	[] 	[2]
43   20    40    87     97     10     [] 	[] 	[12]
44   15    60    76     86     10     [] 	[] 	[17]
45   45    65    126    136    10     [] 	[] 	[9]
46   45    20    62     72     10     [] 	[] 	[11]
47   45    10    97     107    10     [] 	[] 	[18]
48   55    5     68     78     10     [] 	[] 	[29]
49   65    35    153    163    10     [] 	[] 	[3]
50   65    20    172    182    10     [] 	[] 	[6]
51   45    30    132    142    10     [] 	[] 	[17]
52   35    40    37     47     10     [] 	[] 	[16]
53   41    37    39     49     10     [] 	[] 	[16]
54   64    42    63     73     10     [] 	[] 	[9]
55   40    60    71     81     10     [] 	[] 	[21]
56   31    52    50     60     10     [] 	[] 	[27]
57   35    69    141    151    10     [] 	[] 	[23]
58   53    52    37     47     10     [] 	[] 	[11]
59   65    55    117    127    10     [] 	[] 	[14]
60   63    65    143    153    10     [] 	[] 	[8]
61   2     60    41     51     10     [] 	[] 	[5]
62   20    20    134    144    10     [] 	[] 	[8]
63   5     5     83     93     10     [] 	[] 	[16]
64   60    12    44     54     10     [] 	[] 	[31]
65   40    25    85     95     10     [] 	[] 	[9]
66   42    7     97     107    10     [] 	[] 	[5]
67   24    12    31     41     10     [] 	[] 	[5]
68   23    3     132    142    10     [] 	[] 	[7]
69   11    14    69     79     10     [] 	[] 	[18]
70   6     38    32     42     10     [] 	[] 	[16]
71   2     48    117    127    10     [] 	[] 	[1]
72   8     56    51     61     10     [] 	[] 	[27]
73   13    52    165    175    10     [] 	[] 	[36]
74   6     68    108    118    10     [] 	[] 	[30]
