  0   50  102    0 9999 9999 9999    0    0 0
  1   21   46    0 9999 9999 9999   10    0 1
  2   24   37    0 9999 9999 9999   10    0 0
  3   29   29    0 9999 9999 9999   10    0 1
  4   37   24    0 9999 9999 9999   10    0 0
  5   46   21    0 9999 9999 9999   10    0 1
  6   55   21    0 9999 9999 9999   10    0 0
  7   64   24    0 9999 9999 9999   10    0 1
  8   71   29    0 9999 9999 9999   10    0 0
  9   77   37    0 9999 9999 9999   10    0 1
 10   80   46    0 9999 9999 9999   10    0 0
 11   80   55    0 9999 9999 9999   10    0 1
 12   77   64    0 9999 9999 9999   10    0 0
 13   71   71    0 9999 9999 9999   10    0 1
 14   64   77    0 9999 9999 9999   10    0 0
 15   55   80    0 9999 9999 9999   10    0 1
 16   46   80    0 9999 9999 9999   10    0 0
 17   37   77    0 9999 9999 9999   10    0 1
 18   29   71    0 9999 9999 9999   10    0 0
 19   24   64    0 9999 9999 9999   10    0 1
 20   21   55    0 9999 9999 9999   10    0 0
 21   23   31    0 9999 9999 9999   10    0 1
 22   30   23    0 9999 9999 9999   10    0 0
 23   39   18    0 9999 9999 9999   10    0 1
 24   50   17    0 9999 9999 9999   10    0 0
 25   60   18    0 9999 9999 9999   10    0 1
 26   69   23    0 9999 9999 9999   10    0 0
 27   77   30    0 9999 9999 9999   10    0 1
 28   82   39    0 9999 9999 9999   10    0 0
 29   84   50    0 9999 9999 9999   10    0 1
 30   83   60    0 9999 9999 9999   10    0 0
 31   78   69    0 9999 9999 9999   10    0 1
 32   71   77    0 9999 9999 9999   10    0 0
 33   61   82    0 9999 9999 9999   10    0 1
 34   51   84    0 9999 9999 9999   10    0 0
 35   41   83    0 9999 9999 9999   10    0 1
 36   31   78    0 9999 9999 9999   10    0 0
 37   23   71    0 9999 9999 9999   10    0 1
 38   18   61    0 9999 9999 9999   10    0 0
 39   17   51    0 9999 9999 9999   10    0 1
 40   18   41    0 9999 9999 9999   10    0 0
 41   13   45    0 9999 9999 9999   10    0 1
 42   17   33    0 9999 9999 9999   10    0 0
 43   24   24    0 9999 9999 9999   10    0 1
 44   33   17    0 9999 9999 9999   10    0 0
 45   45   13    0 9999 9999 9999   10    0 1
 46   56   13    0 9999 9999 9999   10    0 0
 47   67   17    0 9999 9999 9999   10    0 1
 48   77   24    0 9999 9999 9999   10    0 0
 49   84   33    0 9999 9999 9999   10    0 1
 50   88   45    0 9999 9999 9999   10    0 0
 51   88   56    0 9999 9999 9999   10    0 1
 52   84   67    0 9999 9999 9999   10    0 0
 53   77   77    0 9999 9999 9999   10    0 1
 54   67   84    0 9999 9999 9999   10    0 0
 55   56   88    0 9999 9999 9999   10    0 1
 56   45   88    0 9999 9999 9999   10    0 0
 57   33   84    0 9999 9999 9999   10    0 1
 58   24   77    0 9999 9999 9999   10    0 0
 59   17   67    0 9999 9999 9999   10    0 1
 60   13   56    0 9999 9999 9999   10    0 0
 61   16   27    0 9999 9999 9999   10    0 1
 62   25   17    0 9999 9999 9999   10    0 0
 63   37   11    0 9999 9999 9999   10    0 1
 64   50    9    0 9999 9999 9999   10    0 0
 65   62   10    0 9999 9999 9999   10    0 1
 66   74   16    0 9999 9999 9999   10    0 0
 67   83   25    0 9999 9999 9999   10    0 1
 68   90   37    0 9999 9999 9999   10    0 0
 69   92   50    0 9999 9999 9999   10    0 1
 70   90   62    0 9999 9999 9999   10    0 0
 71   84   74    0 9999 9999 9999   10    0 1
 72   75   83    0 9999 9999 9999   10    0 0
 73   64   90    0 9999 9999 9999   10    0 1
 74   51   92    0 9999 9999 9999   10    0 0
 75   38   90    0 9999 9999 9999   10    0 1
 76   27   84    0 9999 9999 9999   10    0 0
 77   17   75    0 9999 9999 9999   10    0 1
 78   11   64    0 9999 9999 9999   10    0 0
 79    9   51    0 9999 9999 9999   10    0 1
 80   10   38    0 9999 9999 9999   10    0 0
 81    6   43    0 9999 9999 9999   10    0 1
 82   10   30    0 9999 9999 9999   10    0 0
 83   19   19    0 9999 9999 9999   10    0 1
 84   30   10    0 9999 9999 9999   10    0 0
 85   43    6    0 9999 9999 9999   10    0 1
 86   57    6    0 9999 9999 9999   10    0 0
 87   70   10    0 9999 9999 9999   10    0 1
 88   82   19    0 9999 9999 9999   10    0 0
 89   90   30    0 9999 9999 9999   10    0 1
 90   94   43    0 9999 9999 9999   10    0 0
 91   94   57    0 9999 9999 9999   10    0 1
 92   90   70    0 9999 9999 9999   10    0 0
 93   82   82    0 9999 9999 9999   10    0 1
 94   70   90    0 9999 9999 9999   10    0 0
 95   57   94    0 9999 9999 9999   10    0 1
 96   43   94    0 9999 9999 9999   10    0 0
 97   30   90    0 9999 9999 9999   10    0 1
 98   19   82    0 9999 9999 9999   10    0 0
 99   10   70    0 9999 9999 9999   10    0 1
100    6   57    0 9999 9999 9999   10    0 0
